datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-02-28 09:15:00,309.75,319.15,298.55,308.3,13575,13.694651,79350,22336.1,22300.0
2025-02-28 09:30:00,308.3,308.3,290.0,302.0,11925,13.831753,104400,22261.7,22200.0
2025-02-28 09:45:00,302.0,318.6,295.3,316.25,5175,13.975461,106800,22235.35,22200.0
2025-02-28 10:00:00,316.25,317.65,297.4,299.0,10425,13.745203,108000,22262.15,22200.0
2025-02-28 10:15:00,299.0,310.5,287.5,291.0,2025,13.60788,108000,22272.1,22200.0
2025-02-28 10:30:00,291.0,310.5,288.2,303.75,600,13.519854,5100,48473.45,48400.0
2025-02-28 10:45:00,303.75,308.45,286.7,308.05,6075,13.817254,111300,22243.45,22200.0
2025-02-28 11:00:00,308.05,311.25,300.1,305.3,4425,13.828342,113175,22251.95,22200.0
2025-02-28 11:15:00,305.3,305.45,298.6,298.7,4275,13.712125,113925,22259.75,22200.0
2025-02-28 11:30:00,320.4,320.4,296.05,305.05,1950,13.678264,114150,22239.15,22200.0
2025-02-28 11:45:00,305.05,312.95,302.85,306.8,1350,13.713016,115050,22237.4,22200.0
2025-02-28 12:00:00,306.8,311.45,292.95,295.0,750,13.713917,1200,48416.15,48300.0
2025-02-28 12:15:00,295.0,309.65,295.0,307.0,3375,13.842191,117300,22248.25,22200.0
2025-02-28 12:30:00,307.0,318.6,295.4,300.5,5400,13.919891,82200,22169.1,22100.0
2025-02-28 12:45:00,318.4,322.0,284.8,314.1,9900,14.267458,1725,22110.3,22050.0
2025-02-28 13:00:00,314.1,330.5,314.1,330.5,10875,14.381114,98625,22127.85,22100.0
2025-02-28 13:15:00,330.5,330.5,320.85,327.5,6000,14.258599,99750,22125.15,22100.0
2025-02-28 13:30:00,327.5,327.5,306.55,306.55,1275,14.154154,3450,22120.95,22050.0
2025-02-28 13:45:00,306.55,331.55,306.55,328.1,3600,14.341926,102900,22130.7,22100.0
2025-02-28 14:00:00,328.1,332.1,323.4,327.0,2625,14.397967,104850,22138.5,22100.0
2025-02-28 14:15:00,327.0,327.95,320.6,320.6,4575,14.215078,105375,22139.7,22100.0
2025-02-28 14:30:00,320.6,328.95,312.95,312.95,9375,14.358309,105600,22173.3,22100.0
2025-02-28 14:45:00,332.55,332.55,304.25,316.0,2775,14.373895,107100,22166.2,22100.0
2025-02-28 15:00:00,316.0,320.3,302.0,302.0,3300,14.022748,4275,48351.35,48300.0
2025-02-28 15:15:00,316.75,319.85,315.2,315.2,900,13.910769,107175,22127.4,22100.0
